Склад;ДатаКлюч;Продажи рублей
Склад 1;08.01.2013;1776309
Склад 1;09.01.2013;1670458.8
Склад 1;13.01.2013;2065636.4
Склад 1;14.01.2013;1736802.8
Склад 1;15.01.2013;1689900.8
Склад 1;18.01.2013;1974294.2
Склад 1;20.01.2013;1653174.6
Склад 1;23.01.2013;907708.299999999
Склад 1;27.01.2013;1024624.5
Склад 1;01.02.2013;1045591.8
Склад 1;03.02.2013;847765.6
Склад 1;04.02.2013;618433.299999999
Склад 1;08.02.2013;930346.5
Склад 1;09.02.2013;1027636.4
Склад 1;10.02.2013;509113.2
Склад 1;11.02.2013;955826.399999999
Склад 1;12.02.2013;872409.3
Склад 1;13.02.2013;943390.3
Склад 1;19.02.2013;937506.699999999
Склад 1;23.02.2013;1114301.3
Склад 1;27.02.2013;897056.8
Склад 1;28.02.2013;1005087
Склад 1;07.03.2013;2075221.3
Склад 1;17.03.2013;1093015.1
Склад 1;21.03.2013;928128
Склад 1;25.03.2013;960227.899999999
Склад 1;28.03.2013;991072.299999999
Склад 1;29.03.2013;1059445.1
Склад 1;01.04.2013;889222.9
Склад 1;02.04.2013;1003981.6
Склад 1;06.04.2013;1064343.2
Склад 1;11.04.2013;888212.8
Склад 1;18.04.2013;991440.5
Склад 1;21.04.2013;976792.8
Склад 1;23.04.2013;978185.3
Склад 1;27.04.2013;1091074.4
Склад 1;29.04.2013;885683.299999999
Склад 1;30.04.2013;1134849.7
Склад 1;17.05.2013;702659
Склад 1;18.05.2013;1336958.9
Склад 1;22.05.2013;938159.599999999
Склад 1;26.05.2013;944847.8
Склад 1;31.05.2013;1298720.9
Склад 1;04.06.2013;1015271.2
Склад 1;06.06.2013;966755.899999999
Склад 1;14.06.2013;1143091.3
Склад 1;20.06.2013;873342.899999999
Склад 1;24.06.2013;945348.599999999
Склад 1;27.06.2013;953488.6
Склад 1;30.06.2013;912453.499999998
Склад 1;03.07.2013;826308.599999999
Склад 1;04.07.2013;965928.899999999
Склад 1;06.07.2013;861645.4
Склад 1;14.07.2013;757966.599999999
Склад 1;17.07.2013;1022869.1
Склад 1;18.07.2013;991757.8
Склад 1;21.07.2013;910078.4
Склад 1;02.08.2013;1094365.5
Склад 1;08.08.2013;884464
Склад 1;14.08.2013;831535.5
Склад 1;18.08.2013;823699.799999999
Склад 1;25.08.2013;914355.3
Склад 1;26.08.2013;829950.1
Склад 1;29.08.2013;1018692.1
Склад 1;31.08.2013;1063010.9
Склад 1;05.09.2013;963218.499999999
Склад 1;11.09.2013;937180.7
Склад 1;14.09.2013;1120604.7
Склад 1;15.09.2013;930306.199999999
Склад 1;19.09.2013;1054583.3
Склад 1;25.09.2013;951495.7
Склад 1;10.10.2013;1115111.1
Склад 1;13.10.2013;949043.799999999
Склад 1;15.10.2013;968309.299999999
Склад 1;17.10.2013;1041327.2
Склад 1;21.10.2013;980821.8
Склад 1;25.10.2013;1191493.9
Склад 1;28.10.2013;970715.199999999
Склад 1;02.11.2013;1137343.3
Склад 1;08.11.2013;1187872.8
Склад 1;09.11.2013;1135858.7
Склад 1;10.11.2013;899801.799999999
Склад 1;12.11.2013;926369.399999999
Склад 1;21.11.2013;1101395.8
Склад 1;22.11.2013;1120341.7
Склад 1;29.11.2013;1304744
Склад 1;04.12.2013;972282.4
Склад 1;07.12.2013;1289958.5
Склад 1;12.12.2013;1015889.9
Склад 1;17.12.2013;1017473.8
Склад 1;21.12.2013;1214384.3
Склад 1;30.12.2013;2065799.3
Склад 1;01.01.2014;602127.999999999
Склад 1;05.01.2014;888593.299999999
Склад 1;12.01.2014;896596.699999999
Склад 1;13.01.2014;1128323.1
Склад 1;15.01.2014;1035860.8
Склад 1;16.01.2014;1051559.3
Склад 1;29.01.2014;946353.2
Склад 1;02.02.2014;871138.899999999
Склад 1;14.02.2014;1303175
Склад 1;15.02.2014;1238123.6
Склад 1;16.02.2014;869798.6
Склад 1;17.02.2014;943689.999999999
Склад 1;21.02.2014;1357597.2
Склад 1;25.02.2014;1075513.8
Склад 1;27.02.2014;1141896.3
Склад 1;28.02.2014;1236672
Склад 1;08.03.2014;1658014.6
Склад 1;18.03.2014;1168420.9
Склад 1;21.03.2014;1301195.2
Склад 1;22.03.2014;1183712.3
Склад 1;24.03.2014;1068695.1
Склад 1;31.03.2014;1018590.1
Склад 1;05.04.2014;1194736.9
Склад 1;06.04.2014;990312
Склад 1;12.04.2014;1182234.6
Склад 1;14.04.2014;830530.699999999
Склад 1;15.04.2014;1051570.1
Склад 1;17.04.2014;1230048.8
Склад 1;18.04.2014;1397078.8
Склад 1;19.04.2014;1438293.3
Склад 1;20.04.2014;1014977.8
Склад 1;22.04.2014;964465.199999999
Склад 1;24.04.2014;1216864.1
Склад 1;28.04.2014;1070139
Склад 1;01.05.2014;1121655.2
Склад 1;05.05.2014;995870.399999999
Склад 1;10.05.2014;1032952.9
Склад 1;15.05.2014;1295477.8
Склад 1;19.05.2014;1046468.2
